ID,SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO,CATEGORIA,MACRO_CATEGORIA
54,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHINE JULIENNE G200,1.92,1.92,Food,Costi Variabili
55,IT07155170157_werfi,09247360960,10,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHERO QUADRET.ERIDANIA A,1.9,1.9,Food,Costi Variabili
56,IT07155170157_werfi,09247360960,10,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHERO KG1 CRF,1.26,1.26,Food,Costi Variabili
57,IT07155170157_werfi,09247360960,10,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,MENTA GR.30,0.91,0.91,Food,Costi Variabili
58,IT07155170157_werfi,09247360960,5,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ROSMARINO GR.30,0.95,0.95,Food,Costi Variabili
59,IT07155170157_wgj7b,09247360960,10,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,4.0,HAMBURGER DI SCOTTONA FQC,16.32,4.08,Food,Costi Variabili
60,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SONGINO BUSTA GR.70 EURO1,0.96,0.96,Food,Costi Variabili
61,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,MIX ESOTICO GR100 CRF,5.34,1.78,Food,Costi Variabili
62,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,LATTE INTERO UHT 500 ML CRF,0.74,0.74,Food,Costi Variabili
63,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,POMOD. GRAPPOLO GR500 CRF B,3.35,3.35,Food,Costi Variabili
64,IT07155170157_wk2r1,09247360960,22,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,POWERADE MOUNTAIN BLAST PET,0.86,0.86,Food,Costi Variabili
65,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAPRINO DELLA LOMBARDIA TDI,2.48,3.55,Food,Costi Variabili
66,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,PHILADELPHIA REGULAR GR250,3.45,3.45,Food,Costi Variabili
67,IT07155170157_wk2r1,09247360960,22,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CRF PELLICOLA 50M,2.45,2.45,Food,Costi Variabili
68,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHINE JULIENNE G200,1.92,1.92,Food,Costi Variabili
69,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAVOLI BIANCHI CONF.GR.150,1.25,1.25,Food,Costi Variabili
70,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAROTE GR.500 CRF BIO,1.39,1.39,Food,Costi Variabili
71,IT07155170157_wk2r1,09247360960,22,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SHOPPER EXPRESS COMPOSTABIL,0.1,0.1,Food,Costi Variabili
72,IT07155170157_wlksx,09247360960,4,2024-01-29,12683790153,,1.3,5358377,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,LATTE CLAM AQ 500 ML,1.25,1.25,Food,Costi Variabili
73,IT07155170157_wmq6o,09247360960,4,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAROTE JULIENNE CONF.GR.200,1.25,1.25,Food,Costi Variabili
74,IT07155170157_wmq6o,09247360960,4,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,ZUCCHINE JULIENNE G200,3.84,1.92,Food,Costi Variabili
75,IT07155170157_wmq6o,09247360960,10,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,0.11,PIZZETTE CON MOZZARELLA,1.99,18.09,Food,Costi Variabili
76,IT07155170157_wmq6o,09247360960,10,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,0.24,"LASAGNE BOLOGN.2,4KG BA ROS",2.82,11.73,Food,Costi Variabili
77,IT0995751096000lr2_o5ufd,09247360960,22,2024-01-07,09957510960,PZ,19.9,4048205,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,BE PREMIUM,16.31,16.31,Carburante,Costi Variabili
78,IT0995751096000lrd_b6efq,09247360960,22,2024-01-14,09957510960,KWH,15.38,4069998,TD01,BE CHARGE S.R.L.,VIA STENDHAL,28.47,"Sessione di ricarica in Eni Station - Viale Giulio Cesare, 0042, Novara da 2024-01-14 10:12 a 2024-01-14 10:42 (H000371-2)",21.0,0.737541,Carburante,Costi Variabili
79,IT0995751096000lrd_b6efq,09247360960,22,2024-01-14,09957510960,PZ,15.38,4069998,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-8.4,-8.4,Carburante,Costi Variabili
80,IT0995751096000lrg_szq66,09247360960,22,2024-01-16,09957510960,KWH,19.91,4078337,TD01,BE CHARGE S.R.L.,VIA STENDHAL,36.88,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-16 17:54 a 2024-01-16 21:24 (H000009-3)",27.2,0.737527,Carburante,Costi Variabili
81,IT0995751096000lrg_szq66,09247360960,22,2024-01-16,09957510960,PZ,19.91,4078337,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-10.88,-10.88,Carburante,Costi Variabili
82,IT0995751096000lrt_ob93w,09247360960,22,2024-01-25,09957510960,KWH,12.66,4106952,TD01,BE CHARGE S.R.L.,VIA STENDHAL,23.44,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-25 17:11 a 2024-01-25 21:34 (H000009-3)",17.29,0.737628,Carburante,Costi Variabili
83,IT0995751096000lrt_ob93w,09247360960,22,2024-01-25,09957510960,PZ,12.66,4106952,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-6.92,-6.92,Carburante,Costi Variabili
84,IT0995751096000lrv_br5t1,09247360960,22,2024-01-27,09957510960,KWH,5.8,4110782,TD01,BE CHARGE S.R.L.,VIA STENDHAL,10.75,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-26 23:11 a 2024-01-27 01:18 (H000009-3)",7.93,0.737812,Carburante,Costi Variabili
85,IT0995751096000lrv_br5t1,09247360960,22,2024-01-27,09957510960,PZ,5.8,4110782,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-3.17,-3.17,Carburante,Costi Variabili
86,IT0995751096000ls0_wija3,09247360960,22,2024-01-30,09957510960,KWH,17.71,4123786,TD01,BE CHARGE S.R.L.,VIA STENDHAL,32.79,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-30 16:44 a 2024-01-30 22:59 (H000009-3)",24.19,0.73768,Carburante,Costi Variabili
87,IT0995751096000ls0_wija3,09247360960,22,2024-01-30,09957510960,PZ,17.71,4123786,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-9.67,-9.67,Carburante,Costi Variabili
88,IT10938470159_00FH3,09247360960,10,2024-01-12,10938470159,NUMERO,74.75,nrxwr05466,TD01,HOBBY GARDEN DEI NAVIGLI SRL,"VIA STENDHAL ENRICO, 30",1.0,composizione piante miste,67.95455,67.95455,Manutenzione Verde,Altri Costi Fissi
89,IT10938470159_00FH3,09247360960,10,2024-01-12,10938470159,,74.75,nrxwr05466,TD01,HOBBY GARDEN DEI NAVIGLI SRL,"VIA STENDHAL ENRICO, 30",,Riga ausiliaria contenente informazioni tecniche e aggiuntive del documento,0.0,0.0,Manutenzione Verde,Altri Costi Fissi
90,IT10938470159_00FHS,09247360960,10,2024-01-31,10938470159,NUMERO,207.4,nrxwr05507,TD01,HOBBY GARDEN DEI NAVIGLI SRL,"VIA STENDHAL ENRICO, 30",1.0,cactus in vaso,188.54546,188.54546,Manutenzione Verde,Altri Costi Fissi
91,IT10938470159_00FHS,09247360960,10,2024-01-31,10938470159,,207.4,nrxwr05507,TD01,HOBBY GARDEN DEI NAVIGLI SRL,"VIA STENDHAL ENRICO, 30",,Riga ausiliaria contenente informazioni tecniche e aggiuntive del documento,0.0,0.0,Manutenzione Verde,Altri Costi Fissi
92,IT12549080153_1MSB3,09247360960,22,2024-01-09,12549080153,,675.88,7b4a380a-2,TD01,VOLKSWAGEN LEASING GMBH,VIA STENDHAL ENRICO 30,,Canone noleggio,465.0,465.0,Automezzi,Altri Costi Fissi
93,IT12549080153_1MSB3,09247360960,22,2024-01-09,12549080153,,675.88,7b4a380a-2,TD01,VOLKSWAGEN LEASING GMBH,VIA STENDHAL ENRICO 30,,Canone assistenza operativa,89.0,89.0,Automezzi,Altri Costi Fissi
94,IT12549080153_1N89A,09247360960,0,2024-01-09,12549080153,,206.0,c749cd86-1,TD01,VOLKSWAGEN LEASING GMBH,VIA STENDHAL ENRICO 30,,Penale risarcimento danni  Servizio Riparazione Danni Sin.N. 230109506 del 17/11/2023Luogo MILANO; MITARGA :  GN644EDOfficina: FRATELLI GIACOMEL SPA,206.0,206.0,Automezzi,Altri Costi Fissi
95,IT01228510416_EK4,09247360960,22,2024-01-17,01228510416,PZ,80.22,IMA0156493,TD24,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,1.0,MACCHINA CAPSULE PROFESSIONAL PLUS BIANCA,65.75,131.5,Caffè,Costi Variabili
96,IT01228510416_W2K,09247360960,22,2024-01-30,01228510416,PZ,272.6,IMA0157422,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,24.0,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,223.44,9.8,Caffè,Costi Variabili
97,IT01378570350_fmmIm,09247360960,0,2024-01-08,06017420487,,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,,POD: IT012E00109641,0.0,0.0,Energia Elettrica,Utenze
98,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Spesa per la materia energia,620.6,620.6,Energia Elettrica,Utenze
99,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Spesa per il trasporto e la gestione del contatore,47.42,47.42,Energia Elettrica,Utenze
100,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Spesa per gli oneri di sistema,94.83,94.83,Energia Elettrica,Utenze
101,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Imposte,25.0,25.0,Energia Elettrica,Utenze
102,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Canone (sconto su canone) - SentiAMOci Easy storno dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,-9.9,-9.9,Energia Elettrica,Utenze
103,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Canone - SentiAMOci Easy dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,9.9,9.9,Energia Elettrica,Utenze
104,IT01378570350_fq3Vl,00000000nan,0,2024-01-08,06017420487,NR,7.0,1917300136,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Rata,7.0,7.0,Energia Elettrica,Utenze
105,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",,** Rif. Doc. di trasporto 21/2024 del 19/01/2024:,0.0,0.0,Beverage,Costi Variabili
106,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",3.0,Fusto Monflowers 24Lt PK,208.8,69.6,Beverage,Costi Variabili
107,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",2.0,Fusto Thunderhop 24Lt PK,187.2,93.6,Beverage,Costi Variabili
108,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",2.0,Fusto Negripa 24Lt PK,187.2,93.6,Beverage,Costi Variabili
109,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",1.0,Fusto Skaldfifl 24Lt PK,84.0,84.0,Beverage,Costi Variabili
